"","season","team","coach","offense","defense","div_wins","division_win_pct","division_win_percentile"
"125",2020,"DET","Matt Patricia","Darrell Bevell","Cory Undlin",1,0.166666666666667,0.0516304347826087
"126",2021,"DET","Dan Campbell","Anthony Lynn","Aaron Glenn",2,0.333333333333333,0.222826086956522
"127",2022,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",5,0.833333333333333,0.875
"128",2023,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",4,0.666666666666667,0.64945652173913
"129",2024,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",6,1,1
"130",2025,"DET","Dan Campbell","John Morton","Kelvin Sheppard",2,0.333333333333333,0.222826086956522
"131",2015,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",3,0.5,0.407608695652174
"132",2016,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",5,0.833333333333333,0.875
"133",2017,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",2,0.333333333333333,0.222826086956522
"134",2018,"GB","Joe Philbin","","Mike Pettine",1,0.166666666666667,0.0516304347826087
"135",2018,"GB","Mike McCarthy","Joe Philbin","Mike Pettine",1,0.166666666666667,0.0516304347826087
"136",2019,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",6,1,1
"137",2020,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",5,0.833333333333333,0.875
"138",2021,"GB","Matt LaFleur","Nathaniel Hackett","Joe Barry",4,0.666666666666667,0.64945652173913
"139",2022,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",3,0.5,0.407608695652174
"140",2023,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",4,0.666666666666667,0.64945652173913
"141",2024,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",1,0.166666666666667,0.0516304347826087
"142",2025,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",4,0.666666666666667,0.64945652173913
"143",2015,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",5,0.833333333333333,0.875
"144",2016,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",5,0.833333333333333,0.875
"145",2017,"HOU","Bill O'Brien","","Mike Vrabel",1,0.166666666666667,0.0516304347826087
"146",2018,"HOU","Bill O'Brien","","Romeo Crennel",4,0.666666666666667,0.64945652173913
"147",2019,"HOU","Bill O'Brien","Tim Kelly","Romeo Crennel",4,0.666666666666667,0.64945652173913
"148",2020,"HOU","Romeo Crennel","Tim Kelly","Anthony Weaver",2,0.333333333333333,0.222826086956522
"149",2020,"HOU","Bill O'Brien","Tim Kelly","Anthony Weaver",2,0.333333333333333,0.222826086956522
"150",2021,"HOU","David Culley","Tim Kelly","Lovie Smith",3,0.5,0.407608695652174
"151",2022,"HOU","Lovie Smith","Pep Hamilton","",3,0.5,0.407608695652174
"152",2023,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",4,0.666666666666667,0.64945652173913
"153",2024,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",5,0.833333333333333,0.875
"154",2025,"HOU","DeMeco Ryans","Nick Caley","Matt Burke",5,0.833333333333333,0.875
"155",2015,"IND","Chuck Pagano","Rob Chudzinski, Pep Hamilton","Greg Manusky",4,0.666666666666667,0.64945652173913
"156",2016,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",3,0.5,0.407608695652174
"157",2017,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",2,0.333333333333333,0.222826086956522
"158",2018,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",4,0.666666666666667,0.64945652173913
"159",2019,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",3,0.5,0.407608695652174
"160",2020,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",4,0.666666666666667,0.64945652173913
"161",2021,"IND","Frank Reich","Marcus Brady","Matt Eberflus",3,0.5,0.407608695652174
"162",2022,"IND","Jeff Saturday","Marcus Brady","Gus Bradley",1,0.166666666666667,0.0516304347826087
"163",2022,"IND","Frank Reich","Marcus Brady","Gus Bradley",1,0.166666666666667,0.0516304347826087
"164",2023,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",3,0.5,0.407608695652174
"165",2024,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",3,0.5,0.407608695652174
"166",2025,"IND","Shane Steichen","Jim Bob Cooter","Lou Anarumo",2,0.333333333333333,0.222826086956522
"167",2015,"JAX","Gus Bradley","Greg Olson","Bob Babich",2,0.333333333333333,0.222826086956522
"168",2016,"JAX","Doug Marrone","Nathaniel Hackett, Greg Olson","Todd Wash",2,0.333333333333333,0.222826086956522
"169",2016,"JAX","Gus Bradley","Nathaniel Hackett, Greg Olson","Todd Wash",2,0.333333333333333,0.222826086956522
"170",2017,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",4,0.666666666666667,0.64945652173913
"171",2018,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",1,0.166666666666667,0.0516304347826087
"172",2019,"JAX","Doug Marrone","John DeFilippo","Todd Wash",2,0.333333333333333,0.222826086956522
"173",2020,"JAX","Doug Marrone","Jay Gruden","Todd Wash",1,0.166666666666667,0.0516304347826087
"174",2021,"JAX","Darrell Bevell","","Joe Cullen",1,0.166666666666667,0.0516304347826087
"175",2021,"JAX","Urban Meyer","Darrell Bevell","Joe Cullen",1,0.166666666666667,0.0516304347826087
"176",2022,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",4,0.666666666666667,0.64945652173913
"177",2023,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",4,0.666666666666667,0.64945652173913
"178",2024,"JAX","Doug Pederson","Press Taylor","Ryan Nielsen",3,0.5,0.407608695652174
"179",2025,"JAX","Liam Coen","Grant Udinski","Anthony Campanile",5,0.833333333333333,0.875
"180",2015,"KC","Andy Reid","Doug Pederson","Bob Sutton",5,0.833333333333333,0.875
"181",2016,"KC","Andy Reid","Brad Childress","Bob Sutton",6,1,1
"182",2017,"KC","Andy Reid","Matt Nagy","Bob Sutton",5,0.833333333333333,0.875
"183",2018,"KC","Andy Reid","Eric Bieniemy","Bob Sutton",5,0.833333333333333,0.875
"184",2019,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",6,1,1
"185",2020,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",4,0.666666666666667,0.64945652173913
"186",2021,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",5,0.833333333333333,0.875
"187",2022,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",6,1,1
"188",2023,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",4,0.666666666666667,0.64945652173913
"189",2024,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",5,0.833333333333333,0.875
"190",2025,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",1,0.166666666666667,0.0516304347826087
"191",2015,"LAC","Mike McCoy","Frank Reich","John Pagano",0,0,0
"192",2016,"LAC","Mike McCoy","Ken Whisenhunt","John Pagano",1,0.166666666666667,0.0516304347826087
"193",2017,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",3,0.5,0.407608695652174
"194",2018,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",4,0.666666666666667,0.64945652173913
"195",2019,"LAC","Anthony Lynn","Shane Steichen, Ken Whisenhunt","Gus Bradley",0,0,0
"196",2020,"LAC","Anthony Lynn","Shane Steichen","Gus Bradley",3,0.5,0.407608695652174
"197",2021,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",3,0.5,0.407608695652174
"198",2022,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",2,0.333333333333333,0.222826086956522
"199",2023,"LAC","Giff Smith","Kellen Moore","Derrick Ansley",1,0.166666666666667,0.0516304347826087
"200",2023,"LAC","Brandon Staley","Kellen Moore","Derrick Ansley",1,0.166666666666667,0.0516304347826087
"201",2024,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",4,0.666666666666667,0.64945652173913
"202",2025,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",5,0.833333333333333,0.875
"203",2015,"LAR","Jeff Fisher","Rob Boras, Frank Cignetti","Gregg Williams",4,0.666666666666667,0.64945652173913
"204",2016,"LAR","John Fassel","Rob Boras","Gregg Williams",2,0.333333333333333,0.222826086956522
"205",2016,"LAR","Jeff Fisher","Rob Boras","Gregg Williams",2,0.333333333333333,0.222826086956522
"206",2017,"LAR","Sean McVay","Matt LaFleur","Wade Phillips",4,0.666666666666667,0.64945652173913
"207",2018,"LAR","Sean McVay","","Wade Phillips",6,1,1
"208",2019,"LAR","Sean McVay","","Wade Phillips",3,0.5,0.407608695652174
"209",2020,"LAR","Sean McVay","Kevin O'Connell","Brandon Staley",3,0.5,0.407608695652174
"210",2021,"LAR","Sean McVay","Kevin O'Connell","Raheem Morris",3,0.5,0.407608695652174
"211",2022,"LAR","Sean McVay","Liam Coen","Raheem Morris",1,0.166666666666667,0.0516304347826087
"212",2023,"LAR","Sean McVay","Mike LaFleur","Raheem Morris",5,0.833333333333333,0.875
"213",2024,"LAR","Sean McVay","Mike LaFleur","Chris Shula",4,0.666666666666667,0.64945652173913
"214",2025,"LAR","Sean McVay","Mike LaFleur","Chris Shula",4,0.666666666666667,0.64945652173913
"215",2015,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",3,0.5,0.407608695652174
"216",2016,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",3,0.5,0.407608695652174
"217",2017,"LV","Jack Del Rio","Todd Downing","Ken Norton, John Pagano",2,0.333333333333333,0.222826086956522
"218",2018,"LV","Jon Gruden","Greg Olson","Paul Guenther",1,0.166666666666667,0.0516304347826087
"219",2019,"LV","Jon Gruden","Greg Olson","Paul Guenther",3,0.5,0.407608695652174
"220",2020,"LV","Jon Gruden","Greg Olson","Paul Guenther, Rod Marinelli",4,0.666666666666667,0.64945652173913
"221",2021,"LV","Rich Bisaccia","Greg Olson","Gus Bradley",3,0.5,0.407608695652174
"222",2021,"LV","Jon Gruden","Greg Olson","Gus Bradley",3,0.5,0.407608695652174
"223",2022,"LV","Josh McDaniels","Mick Lombardi","Patrick Graham",3,0.5,0.407608695652174
"224",2023,"LV","Antonio Pierce","Bo Hardegree, Mick Lombardi","Patrick Graham",4,0.666666666666667,0.64945652173913
"225",2023,"LV","Josh McDaniels","Bo Hardegree, Mick Lombardi","Patrick Graham",4,0.666666666666667,0.64945652173913
"226",2024,"LV","Antonio Pierce","Luke Getsy, Scott Turner","Patrick Graham",0,0,0
"227",2025,"LV","Pete Carroll","Chip Kelly, Greg Olson","Patrick Graham",1,0.166666666666667,0.0516304347826087
"228",2015,"MIA","Dan Campbell","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",1,0.166666666666667,0.0516304347826087
"229",2015,"MIA","Joe Philbin","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",1,0.166666666666667,0.0516304347826087
"230",2016,"MIA","Adam Gase","Clyde Christensen","Vance Joseph",4,0.666666666666667,0.64945652173913
"231",2017,"MIA","Adam Gase","Clyde Christensen","Matt Burke",2,0.333333333333333,0.222826086956522
"232",2018,"MIA","Adam Gase","Dowell Loggains","Matt Burke",4,0.666666666666667,0.64945652173913
"233",2019,"MIA","Brian Flores","Chad O'Shea","Patrick Graham",2,0.333333333333333,0.222826086956522
"234",2020,"MIA","Brian Flores","Chan Gailey","Josh Boyer",3,0.5,0.407608695652174
"235",2021,"MIA","Brian Flores","George Godsey, Eric Studesville","Josh Boyer",4,0.666666666666667,0.64945652173913
"236",2022,"MIA","Mike McDaniel","Frank Smith","Josh Boyer",3,0.5,0.407608695652174
"237",2023,"MIA","Mike McDaniel","Frank Smith","Vic Fangio",4,0.666666666666667,0.64945652173913
"238",2024,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",3,0.5,0.407608695652174
"239",2025,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",3,0.5,0.407608695652174
"240",2015,"MIN","Mike Zimmer","Norv Turner","George Edwards",5,0.833333333333333,0.875
"241",2016,"MIN","Mike Zimmer","Pat Shurmur, Norv Turner","George Edwards",2,0.333333333333333,0.222826086956522
"242",2017,"MIN","Mike Zimmer","Pat Shurmur","George Edwards",5,0.833333333333333,0.875
"243",2018,"MIN","Mike Zimmer","John DeFilippo","George Edwards",3,0.5,0.407608695652174
"244",2019,"MIN","Mike Zimmer","Kevin Stefanski","George Edwards",2,0.333333333333333,0.222826086956522
"245",2020,"MIN","Mike Zimmer","Gary Kubiak","Andre Patterson, Adam Zimmer",4,0.666666666666667,0.64945652173913
"246",2021,"MIN","Mike Zimmer","Klint Kubiak","Andre Patterson, Adam Zimmer",4,0.666666666666667,0.64945652173913
"247",2022,"MIN","Kevin O'Connell","Wes Phillips","Ed Donatell",4,0.666666666666667,0.64945652173913
"248",2023,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",2,0.333333333333333,0.222826086956522
"249",2024,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",4,0.666666666666667,0.64945652173913
"250",2025,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",4,0.666666666666667,0.64945652173913
"251",2015,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",4,0.666666666666667,0.64945652173913
"252",2016,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",5,0.833333333333333,0.875
"253",2017,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",5,0.833333333333333,0.875
"254",2018,"NE","Bill Belichick","Josh McDaniels","",5,0.833333333333333,0.875
"255",2019,"NE","Bill Belichick","Josh McDaniels","",5,0.833333333333333,0.875
"256",2020,"NE","Bill Belichick","Josh McDaniels","",3,0.5,0.407608695652174
"257",2021,"NE","Bill Belichick","Josh McDaniels","",3,0.5,0.407608695652174
"258",2022,"NE","Bill Belichick","","",3,0.5,0.407608695652174
"259",2023,"NE","Bill Belichick","Bill O'Brien","",2,0.333333333333333,0.222826086956522
"260",2024,"NE","Jerod Mayo","Alex Van Pelt","DeMarcus Covington",2,0.333333333333333,0.222826086956522
"261",2025,"NE","Mike Vrabel","Josh McDaniels","Terrell Williams",5,0.833333333333333,0.875
"262",2015,"NO","Sean Payton","Pete Carmichael","Dennis Allen, Rob Ryan",3,0.5,0.407608695652174
"263",2016,"NO","Sean Payton","Pete Carmichael","Dennis Allen",2,0.333333333333333,0.222826086956522
"264",2017,"NO","Sean Payton","Pete Carmichael","Dennis Allen",4,0.666666666666667,0.64945652173913
"265",2018,"NO","Sean Payton","Pete Carmichael","Dennis Allen",4,0.666666666666667,0.64945652173913
"266",2019,"NO","Sean Payton","Pete Carmichael","Dennis Allen",5,0.833333333333333,0.875
"267",2020,"NO","Sean Payton","Pete Carmichael","Dennis Allen",6,1,1
"268",2021,"NO","Sean Payton","Pete Carmichael","Dennis Allen",4,0.666666666666667,0.64945652173913
"269",2022,"NO","Dennis Allen","Pete Carmichael","Ryan Nielsen, Kris Richard",2,0.333333333333333,0.222826086956522
"270",2023,"NO","Dennis Allen","Pete Carmichael","Joe Woods",4,0.666666666666667,0.64945652173913
"271",2024,"NO","Darren Rizzi","Klint Kubiak","Joe Woods",2,0.333333333333333,0.222826086956522
"272",2024,"NO","Dennis Allen","Klint Kubiak","Joe Woods",2,0.333333333333333,0.222826086956522
"273",2025,"NO","Kellen Moore","Doug Nussmeier","Brandon Staley",3,0.5,0.407608695652174
"274",2015,"NYG","Tom Coughlin","Ben McAdoo","Steve Spagnuolo",2,0.333333333333333,0.222826086956522
"275",2016,"NYG","Ben McAdoo","Mike Sullivan","Steve Spagnuolo",4,0.666666666666667,0.64945652173913
"276",2017,"NYG","Steve Spagnuolo","Mike Sullivan","",1,0.166666666666667,0.0516304347826087
"277",2017,"NYG","Ben McAdoo","Mike Sullivan","Steve Spagnuolo",1,0.166666666666667,0.0516304347826087
"278",2018,"NYG","Pat Shurmur","Mike Shula","James Bettcher",1,0.166666666666667,0.0516304347826087
"279",2019,"NYG","Pat Shurmur","Mike Shula","James Bettcher",2,0.333333333333333,0.222826086956522
"280",2020,"NYG","Joe Judge","Jason Garrett","Patrick Graham",4,0.666666666666667,0.64945652173913
"281",2021,"NYG","Joe Judge","Jason Garrett, Freddie Kitchens","Patrick Graham",1,0.166666666666667,0.0516304347826087
"282",2022,"NYG","Brian Daboll","Mike Kafka","Don Martindale",1,0.166666666666667,0.0516304347826087
"283",2023,"NYG","Brian Daboll","Mike Kafka","Don Martindale",3,0.5,0.407608695652174
"284",2024,"NYG","Brian Daboll","Mike Kafka","Shane Bowen",0,0,0
"285",2025,"NYG","Mike Kafka","","Shane Bowen, Charlie Bullen",2,0.333333333333333,0.222826086956522
