"","season","team","wp_total","wp_percentile","coach","offense","defense"
"230",2016,"MIA",-0.496418375918082,0.498645653779857,"Adam Gase","Clyde Christensen","Vance Joseph"
"231",2017,"MIA",-0.990920846500537,0.220183486238532,"Adam Gase","Clyde Christensen","Matt Burke"
"232",2018,"MIA",0.327486758719643,0.723148602256008,"Adam Gase","Dowell Loggains","Matt Burke"
"233",2019,"MIA",-0.0544598779684427,0.563928050559067,"Brian Flores","Chad O'Shea","Patrick Graham"
"234",2020,"MIA",0.269217737950384,0.705327675624705,"Brian Flores","Chan Gailey","Josh Boyer"
"235",2021,"MIA",-0.152415333395765,0.296617712505563,"Brian Flores","George Godsey, Eric Studesville","Josh Boyer"
"236",2022,"MIA",0.467468300019394,0.835783759330468,"Mike McDaniel","Frank Smith","Josh Boyer"
"237",2023,"MIA",-0.346338966200785,0.541125541125541,"Mike McDaniel","Frank Smith","Vic Fangio"
"238",2024,"MIA",-0.515643156744774,0.41399416909621,"Mike McDaniel","Frank Smith","Anthony Weaver"
"239",2025,"MIA",-0.0715816861959848,0.394851758216502,"Mike McDaniel","Frank Smith","Anthony Weaver"
"240",2015,"MIN",-1.32716082974965,0.113534952900347,"Mike Zimmer","Norv Turner","George Edwards"
"241",2016,"MIN",-0.329719069195557,0.622260526963802,"Mike Zimmer","Pat Shurmur, Norv Turner","George Edwards"
"242",2017,"MIN",0.959271554194856,0.936523679642946,"Mike Zimmer","Pat Shurmur","George Edwards"
"243",2018,"MIN",0.551487009099216,0.811427170181461,"Mike Zimmer","John DeFilippo","George Edwards"
"244",2019,"MIN",-0.133063547115353,0.534030140982013,"Mike Zimmer","Kevin Stefanski","George Edwards"
"245",2020,"MIN",-0.855560977816336,0.186704384724187,"Mike Zimmer","Gary Kubiak","Andre Patterson, Adam Zimmer"
"246",2021,"MIN",-0.0352392640634236,0.327102803738318,"Mike Zimmer","Klint Kubiak","Andre Patterson, Adam Zimmer"
"247",2022,"MIN",0.223562439870274,0.761366206740556,"Kevin O'Connell","Wes Phillips","Ed Donatell"
"248",2023,"MIN",-0.75300721358508,0.315789473684211,"Kevin O'Connell","Wes Phillips","Brian Flores"
"249",2024,"MIN",-0.327100361115298,0.566270464229648,"Kevin O'Connell","Wes Phillips","Brian Flores"
"250",2025,"MIN",0.428468536582583,0.655711330728568,"Kevin O'Connell","Wes Phillips","Brian Flores"
"251",2015,"NE",0.514500320709386,0.848289538919187,"Bill Belichick","Josh McDaniels","Matt Patricia"
"252",2016,"NE",-1.17132610676615,0.152425510957892,"Bill Belichick","Josh McDaniels","Matt Patricia"
"253",2017,"NE",1.25771587670897,0.967517976692289,"Bill Belichick","Josh McDaniels","Matt Patricia"
"254",2018,"NE",0.204669175271904,0.689063266307013,"Bill Belichick","Josh McDaniels",""
"255",2019,"NE",-1.00103021010733,0.131016042780749,"Bill Belichick","Josh McDaniels",""
"256",2020,"NE",-0.367231873609865,0.378123526638378,"Bill Belichick","Josh McDaniels",""
"257",2021,"NE",-0.182948180792611,0.207832665776591,"Bill Belichick","Josh McDaniels",""
"258",2022,"NE",-1.58608322377075,0,"Bill Belichick","",""
"259",2023,"NE",-0.951550912904225,0.224196855775803,"Bill Belichick","Bill O'Brien",""
"260",2024,"NE",-0.573349504432795,0.354339538013007,"Jerod Mayo","Alex Van Pelt","DeMarcus Covington"
"261",2025,"NE",0.416861513260575,0.620547000689497,"Mike Vrabel","Josh McDaniels","Terrell Williams"
"262",2015,"NO",-0.768666083495188,0.278383738225087,"Sean Payton","Pete Carmichael","Dennis Allen, Rob Ryan"
"263",2016,"NO",-0.550743062513452,0.403595173602561,"Sean Payton","Pete Carmichael","Dennis Allen"
"264",2017,"NO",0.212827808993435,0.727746094718572,"Sean Payton","Pete Carmichael","Dennis Allen"
"265",2018,"NO",0.941498807049352,0.94310936733693,"Sean Payton","Pete Carmichael","Dennis Allen"
"266",2019,"NO",0.95161553124847,0.938259601361206,"Sean Payton","Pete Carmichael","Dennis Allen"
"267",2020,"NO",1.16841046395712,0.935879302215936,"Sean Payton","Pete Carmichael","Dennis Allen"
"268",2021,"NO",0.310517518487679,0.626613262127281,"Sean Payton","Pete Carmichael","Dennis Allen"
"269",2022,"NO",-1.3384193286174,0.0515720425243158,"Dennis Allen","Pete Carmichael","Ryan Nielsen, Kris Richard"
"270",2023,"NO",-1.24212070941576,0.0950102529049898,"Dennis Allen","Pete Carmichael","Joe Woods"
"271",2024,"NO",-1.32001356568071,0.119757793227181,"Darren Rizzi","Klint Kubiak","Joe Woods"
"272",2024,"NO",-1.32001356568071,0.119757793227181,"Dennis Allen","Klint Kubiak","Joe Woods"
"273",2025,"NO",-1.32075132883619,0.0287290278096989,"Kellen Moore","Doug Nussmeier","Brandon Staley"
"274",2015,"NYG",-0.126405952605951,0.597917699553793,"Tom Coughlin","Ben McAdoo","Steve Spagnuolo"
"275",2016,"NYG",-0.298399095412224,0.649347451366659,"Ben McAdoo","Mike Sullivan","Steve Spagnuolo"
"276",2017,"NYG",-1.66979142367475,0.0307463426729482,"Steve Spagnuolo","Mike Sullivan",""
"277",2017,"NYG",-1.66979142367475,0.0307463426729482,"Ben McAdoo","Mike Sullivan","Steve Spagnuolo"
"278",2018,"NYG",-0.992753057304071,0.177783227072094,"Pat Shurmur","Mike Shula","James Bettcher"
"279",2019,"NYG",-0.921709665912201,0.15872630043753,"Pat Shurmur","Mike Shula","James Bettcher"
"280",2020,"NYG",-0.783330336940707,0.287364450730787,"Joe Judge","Jason Garrett","Patrick Graham"
"281",2021,"NYG",-0.725269283029774,0.0315976858032933,"Joe Judge","Jason Garrett, Freddie Kitchens","Patrick Graham"
"282",2022,"NYG",-0.236865575849454,0.44107667948428,"Brian Daboll","Mike Kafka","Don Martindale"
"283",2023,"NYG",-0.806947840482038,0.283663704716336,"Brian Daboll","Mike Kafka","Don Martindale"
"284",2024,"NYG",-0.469146550441859,0.476339986544068,"Brian Daboll","Mike Kafka","Shane Bowen"
"285",2025,"NYG",-0.200590794614516,0.246609974718456,"Mike Kafka","","Shane Bowen, Charlie Bullen"
"286",2025,"NYG",-0.200590794614516,0.246609974718456,"Brian Daboll","Mike Kafka","Shane Bowen, Charlie Bullen"
"287",2015,"NYJ",0.612266716268765,0.877540902330193,"Todd Bowles","Chan Gailey","Kacy Rodgers"
"288",2016,"NYJ",-0.667056391259394,0.316670770746122,"Todd Bowles","Chan Gailey","Kacy Rodgers"
"289",2017,"NYJ",-0.534428455042847,0.377634515249194,"Todd Bowles","John Morton","Kacy Rodgers"
"290",2018,"NYJ",-0.180632670030801,0.499509563511525,"Todd Bowles","Jeremy Bates","Kacy Rodgers"
"291",2019,"NYJ",-0.894724752212259,0.189839572192513,"Adam Gase","Dowell Loggains","Gregg Williams"
"292",2020,"NYJ",-0.902181804904106,0.134134842055634,"Adam Gase","Dowell Loggains","Frank Bush, Gregg Williams"
"293",2021,"NYJ",-0.1734855777793,0.269692923898531,"Robert Saleh","Mike LaFleur","Jeff Ulbrich"
"294",2022,"NYJ",-1.19996285701909,0.102465505541733,"Robert Saleh","Mike LaFleur","Jeff Ulbrich"
"295",2023,"NYJ",-1.10499690873008,0.188653451811347,"Robert Saleh","Nathaniel Hackett","Jeff Ulbrich"
"296",2024,"NYJ",-1.411052474241,0.0603274276743664,"Jeff Ulbrich","Nathaniel Hackett",""
"297",2024,"NYJ",-1.411052474241,0.0603274276743664,"Robert Saleh","Nathaniel Hackett","Jeff Ulbrich"
"298",2025,"NYJ",-1.28044406045423,0.0632038611813376,"Aaron Glenn","Tanner Engstrand","Steve Wilks"
"299",2015,"PHI",-1.29255228038086,0.173525037183937,"Pat Shurmur","","Bill Davis"
"300",2015,"PHI",-1.29255228038086,0.173525037183937,"Chip Kelly","Pat Shurmur","Bill Davis"
"301",2016,"PHI",-1.20913652656236,0.114011327259296,"Doug Pederson","Frank Reich","Jim Schwartz"
"302",2017,"PHI",0.86726220619431,0.897842796925366,"Doug Pederson","Frank Reich","Jim Schwartz"
"303",2018,"PHI",0.000523672373671388,0.55689063266307,"Doug Pederson","Mike Groh","Jim Schwartz"
"304",2019,"PHI",-0.559380328758231,0.249878463782207,"Doug Pederson","Mike Groh","Jim Schwartz"
"305",2020,"PHI",-0.24231070076701,0.50990099009901,"Doug Pederson","","Jim Schwartz"
"306",2021,"PHI",-0.260157066846021,0.17890520694259,"Nick Sirianni","Shane Steichen","Jonathan Gannon"
"307",2022,"PHI",0.516448964944777,0.889843926713413,"Nick Sirianni","Shane Steichen","Jonathan Gannon"
"308",2023,"PHI",-0.235925013490485,0.600136705399863,"Nick Sirianni","Brian Johnson","Sean Desai"
"309",2024,"PHI",0.238998803190077,0.686476788517605,"Nick Sirianni","Kellen Moore","Vic Fangio"
"310",2025,"PHI",-0.934734044472494,0.0972190301080211,"Nick Sirianni","Kevin Patullo","Vic Fangio"
"311",2015,"PIT",0.923950744634777,0.932325235498265,"Mike Tomlin","Todd Haley","Keith Butler"
"312",2016,"PIT",0.769199836231251,0.895838463432652,"Mike Tomlin","Todd Haley","Keith Butler"
"313",2017,"PIT",0.783270832267595,0.855938507314654,"Mike Tomlin","Todd Haley","Keith Butler"
"314",2018,"PIT",0.556454001313053,0.847719470328592,"Mike Tomlin","Randy Fichtner","Keith Butler"
"315",2019,"PIT",0.00107036927498016,0.595527467185221,"Mike Tomlin","Randy Fichtner","Keith Butler"
"316",2020,"PIT",-0.00934513650734329,0.605610561056106,"Mike Tomlin","Randy Fichtner","Keith Butler"
"317",2021,"PIT",0.0398702461679953,0.495772140631954,"Mike Tomlin","Matt Canada","Keith Butler"
"318",2022,"PIT",0.510931844575682,0.864284098620222,"Mike Tomlin","Matt Canada","Teryl Austin"
"319",2023,"PIT",-0.529830214552932,0.43403964456596,"Mike Tomlin","Matt Canada, Eddie Faulkner","Teryl Austin"
"320",2024,"PIT",-0.936030487806422,0.255214173581521,"Mike Tomlin","Arthur Smith","Teryl Austin"
"321",2025,"PIT",0.361917431582698,0.523098138358998,"Mike Tomlin","Arthur Smith","Teryl Austin"
"322",2015,"SEA",-0.425890385173262,0.340852751611304,"Pete Carroll","Darrell Bevell","Kris Richard"
"323",2016,"SEA",-0.134178767119011,0.768776163506525,"Pete Carroll","Darrell Bevell","Kris Richard"
"324",2017,"SEA",0.042994378376783,0.665757500619886,"Pete Carroll","Darrell Bevell","Kris Richard"
"325",2018,"SEA",0.17422790928792,0.652525747915645,"Pete Carroll","Brian Schottenheimer","Ken Norton"
"326",2019,"SEA",-0.558978408691478,0.286339329120078,"Pete Carroll","Brian Schottenheimer","Ken Norton"
"327",2020,"SEA",0.595421854639431,0.728429985855728,"Pete Carroll","Brian Schottenheimer","Ken Norton"
"328",2021,"SEA",0.136900654929255,0.524699599465955,"Pete Carroll","Shane Waldron","Ken Norton"
"329",2022,"SEA",-0.0347907741961555,0.603030988464148,"Pete Carroll","Shane Waldron","Clint Hurtt"
"330",2023,"SEA",0.621233716089051,0.928001822738665,"Pete Carroll","Shane Waldron","Clint Hurtt"
"331",2024,"SEA",0.868881199205299,0.909845256784032,"Mike Macdonald","Ryan Grubb","Aden Durde"
"332",2025,"SEA",-0.126838636340838,0.334176051482418,"Mike Macdonald","Klint Kubiak","Aden Durde"
"333",2015,"SF",-0.229518059641123,0.513138324243927,"Jim Tomsula","Geep Chryst","Eric Mangini"
"334",2016,"SF",-0.451140238972711,0.597143560699335,"Chip Kelly","Curtis Modkins","Jim O'Neil"
"335",2017,"SF",0.184010654371211,0.693032482023308,"Kyle Shanahan","","Robert Saleh"
"336",2018,"SF",-1.05442634284555,0.0877881314369789,"Kyle Shanahan","","Robert Saleh"
"337",2019,"SF",1.30532892956135,0.967185221195916,"Kyle Shanahan","","Robert Saleh"
"338",2020,"SF",-1.06745589213172,0.0363036303630363,"Kyle Shanahan","","Robert Saleh"
"339",2021,"SF",0.979008053271411,0.803293279928794,"Kyle Shanahan","Mike McDaniel","DeMeco Ryans"
"340",2022,"SF",-0.38276165546189,0.374123501470256,"Kyle Shanahan","","DeMeco Ryans"
"341",2023,"SF",-0.309541533235461,0.571428571428571,"Kyle Shanahan","","Steve Wilks"
"342",2024,"SF",-0.503799631101302,0.444270015698587,"Kyle Shanahan","","Nick Sorensen"
"343",2025,"SF",0.38446332661988,0.552976327281085,"Kyle Shanahan","Klay Kubiak","Robert Saleh"
"344",2015,"TB",-0.16609235666272,0.568666336142786,"Lovie Smith","Dirk Koetter","Leslie Frazier"
"345",2016,"TB",-0.207299761579635,0.70943117458754,"Dirk Koetter","Todd Monken","Mike Smith"
"346",2017,"TB",-0.027571357567716,0.603272997768411,"Dirk Koetter","Todd Monken","Mike Smith"
"347",2018,"TB",0.0568567054579025,0.592447278077489,"Dirk Koetter","Todd Monken","Mark Duffner, Mike Smith"
"348",2019,"TB",0.264668655662517,0.745017015070491,"Bruce Arians","Byron Leftwich","Todd Bowles"
"349",2020,"TB",-0.172060375567525,0.548090523338048,"Bruce Arians","Byron Leftwich","Todd Bowles"
"350",2021,"TB",1.26812770880931,0.937027147307521,"Bruce Arians","Byron Leftwich","Todd Bowles"
