"","rank","coach_name","seasons","n_teams","teams","total_score"
"149",149,"Robert Saleh",9,2,"NYJ, SF",19.2777544016732
"150",150,"Jerry Rosburg",1,1,"DEN",2.14130637056445
"151",151,"Justin Outten",1,1,"DEN",2.14130637056445
"152",152,"Mike LaFleur",5,2,"LAR, NYJ",10.6306633780644
"153",153,"Al Holcomb",2,2,"ARI, CAR",4.24886414314043
"154",154,"Zac Robinson",2,1,"ATL",4.15845393282742
"155",155,"Hue Jackson",2,1,"CLE",4.1379521678608
"156",156,"Todd Monken",6,3,"BAL, CLE, TB",12.0687096119177
"157",157,"Press Taylor",3,1,"JAX",5.93900513486243
"158",158,"Lou Anarumo",7,2,"CIN, IND",13.8490614795139
"159",159,"Jay Gruden",4,2,"JAX, WSH",7.88396784791846
"160",160,"Ken Whisenhunt",3,1,"LAC",5.89085080948249
"161",161,"Dean Pees",5,3,"ATL, BAL, TEN",9.81549086256585
"162",162,"Todd Downing",3,2,"LV, TEN",5.85623988781598
"163",163,"Jimmy Lake",1,1,"ATL",1.94624834935821
"164",164,"John Morton",2,2,"DET, NYJ",3.8660484477826
"165",165,"Phil Snow",3,1,"CAR",5.79875723337964
"166",166,"Eric Washington",3,2,"CAR, CHI",5.77587119761155
"167",167,"Anthony Weaver",3,2,"HOU, MIA",5.77333743039525
"168",168,"Pat Shurmur",5,3,"DEN, MIN, NYG",9.61664853354766
"169",169,"Jim Bob Cooter",5,2,"DET, IND",9.52180886200441
"170",170,"Alex Van Pelt",5,2,"CLE, NE",9.41399687307365
"171",171,"Chuck Pagano",3,2,"CHI, IND",5.64430268639129
"172",172,"John DeFilippo",2,2,"JAX, MIN",3.74708159332535
"173",173,"Dom Capers",1,1,"GB",1.86409330843248
"174",174,"Edgar Bennett",1,1,"GB",1.86409330843248
"175",175,"Brad Idzik",2,1,"CAR",3.71331595012954
"176",176,"Ejiro Evero",4,2,"CAR, DEN",7.22516480819232
"177",177,"Josh Grizzard",1,1,"TB",1.80543403968319
"178",178,"Charlie Bullen",1,1,"NYG",1.80491843644307
"179",179,"Paul Guenther",4,2,"CIN, LV",7.16163732810369
"180",180,"Rich Scangarello",1,1,"DEN",1.78477314222449
"181",181,"Tim Kelly",4,2,"HOU, TEN",7.09842678033099
"182",182,"Brian Callahan",7,2,"CIN, TEN",12.4016771485315
"183",183,"Adam Zimmer",2,1,"MIN",3.54316353710476
"184",184,"Andre Patterson",2,1,"MIN",3.54316353710476
"185",185,"Jack Del Rio",5,2,"LV, WSH",8.84002486856792
"186",186,"Jeff Ulbrich",6,2,"ATL, NYJ",10.4379396521631
"187",187,"Mike Kafka",4,1,"NYG",6.94689009358346
"188",188,"Gregg Williams",4,2,"CLE, NYJ",6.92350541389891
"189",189,"Dan Pitcher",2,1,"CIN",3.46167795359731
"190",190,"David Culley",1,1,"HOU",1.72791529641078
"191",191,"Joe Woods",7,3,"CLE, DEN, NO",12.0613921852041
"192",192,"Mike Shula",3,2,"CAR, NYG",5.14795975552253
"193",193,"Marcus Brady",2,1,"IND",3.41126760900984
"194",194,"Kris Richard",2,2,"NO, SEA",3.36834010582573
